Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
8541923;New Achimota;New Achimota;;P;PPLX;GH;Ghana;;01;302;;;37116;;59;Africa/Accra;2023-12-01;Ghana;5.62657, -0.25807
11205758;Odumase Krobo;Odumase Krobo;;P;PPLA2;GH;Ghana;;05;518;;;0;;214;Africa/Accra;2019-12-06;Ghana;6.53333, -0.81667
12123477;Zonno;Zonno;;P;PPL;GH;Ghana;;10;904;;;2000;;222;Africa/Accra;2020-02-02;Ghana;10.78442, -0.78449
2297505;Navrongo;Navrongo;Navrongo;P;PPL;GH;Ghana;;10;903;;;25470;;196;Africa/Accra;2025-02-18;Ghana;10.89469, -1.09083
2300182;Japekrom;Japekrom;Gyapekurom,Japekrom;P;PPLA2;GH;Ghana;;13;711;;;96000;;267;Africa/Accra;2019-12-08;Ghana;7.5758, -2.78516
2302357;Cape Coast;Cape Coast;Cabo Corso,Cape Coast,Cape Coast Castle,Igua Ogwa,Keip Kostas,Kejp-Kost,Ogwa,hai an jiao,keipeukoseuteu,kyp kwst,Кейп-Кост,کیپ کوست,کیپ کوسٹ,ケープ・コースト,海岸角,케이프코스트;P;PPLA;GH;Ghana;;04;202;;;212426;;21;Africa/Accra;2023-12-01;Ghana;5.10535, -1.2466
2304220;Asamankese;Asamankese;Asamankese,Asamankese Constituency,asamankese,Асаманкесе,اسامانکیسے,アサマンケセ;P;PPL;GH;Ghana;;05;503;;;46061;;147;Africa/Accra;2023-12-01;Ghana;5.86006, -0.6635
2294700;Tema;Tema;Tehma,Tema,Temma,Toma,te ma,tema,the ma,tma,tmh,tyma,Τέμα,Тема,Тэма,Տեմա,טמה,تما,تيما,تیما,टेमा,तेमा,টেমা,તેમા,தேமா,టేమా,ಟೇಮಾ,ටෙමා,เทมะ,テマ,特馬,特马,테마;P;PPL;GH;Ghana;;01;308;;;155782;;27;Africa/Accra;2019-12-05;Ghana;5.6698, -0.01657
2301245;Ahwiaa;Ahwiaa;Abwia,Ahwiaa,Ebwia,Ehwia,Ehwiaa;P;PPL;GH;Ghana;;02;620;;;32163;;309;Africa/Accra;2023-12-01;Ghana;6.76051, -1.59402
2303611;Esim;Esim;Axim,Esim;P;PPL;GH;Ghana;;09;103;;;35487;;8;Africa/Accra;2023-12-01;Ghana;4.86641, -2.24181
